OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
34,13-062252,20130319,HOMER WATSON BLVD @ HOFFMAN ST,01-Non intersection,10-Not on roadway - left side,03-Snow,05-Dusk,INTERSECTION,
35,13-047660,20130301,QUEEN ST S @ CHARLES ST W / CHARLES ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
36,13-055965,20130312,HOMER WATSON BLVD @ HURON RD,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
37,13-053376,20130308,LANCASTER ST E @ HOHNER AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
38,13-057134,20130313,COURTLAND AVE E @ STIRLING AVE S,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
39,12-044813,20120225,DRIFTWOOD DR @ HIGHVIEW DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
40,12-044798,20120225,CLOVERDALE CRES @ UPLANDS DR,03-At intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
41,12-029938,20120206,STIRLING AVE S @ PLEASANT AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
42,12-045019,20120225,PIONEER DR @ BLACK WALNUT DR,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
43,12-038436,20120217,MILL ST @ OTTAWA ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
44,12-049425,20120215,METZLOFF DR @ CARLTON ST,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
45,12-060551,20120315,GATEWAY PARK DR @ TU LANE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
46,12-105903,20120507,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
47,12-121661,20120525,WILSON AVE @ TRAYNOR AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
48,13-017537,20130121,WELLINGTON ST N @ SHIRLEY AVE / RIVERBEND DR,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
49,13-009319,20130111,QUEENS BLVD @ ELM RIDGE DR,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
50,13-011167,20130114,CONESTOGA COLLEGE BLVD @ HOMER WATSON BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
51,13-042420,20130223,RAMBLEWOOD WAY @ BROOKSIDE CRES,01-Non intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
52,13-004494,20130106,DUKE ST W @ WELLINGTON ST N,03-At intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
53,13-009371,20130112,MCGARRY DR @ FISCHER HALLMAN RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
54,13-002946,20130104,QUEENS BLVD @ HIGHLAND RD W / HIGHLAND RD E / QUEEN ST S,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
55,13-026888,20130203,BLACKWELL DR @ MONTEAGLE CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
56,12-288853,20121211,VICTORIA ST S @ CHARLES ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
57,12-015741,20120119,QUEENS BLVD @ BLUERIDGE AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
58,12-013808,20120118,WABANAKI DR @ WILSON AVE,03-At intersection,05-Right turn channel,01-Clear,01-Daylight,INTERSECTION,
59,12-016002,20120120,HURON RD @ NEWCASTLE DR / PARKVALE DR,01-Non intersection,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
60,12-004802,20120107,FREDERICK ST @ AVON RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
61,12-112546,20120515,GUELPH ST @ MARGARET AVE,01-Non intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
62,12-132536,20120607,GUELPH ST @ ST LEGER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
63,13-006746,20130109,PARK ST @ CHERRY ST,05-At railway crossing,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
64,13-026404,20130202,DUKE ST W @ BREITHAUPT ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
65,13-015117,20130118,WOODHAVEN RD @ GREENFIELD AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
66,13-006729,20130106,GRAVEL RIDGE TRAIL @ MELINDA ST,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
67,13-028514,20130205,BRADLEY DR @ BRADLEY PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
68,13-049874,20130304,MONTE CARLO ST @ DAYTONA ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
69,13-048279,20130302,GREENBROOK DR @ VILLAGE RD / FOREST HILL DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
70,13-058807,20130307,OVERLEA DR @ RALGREEN CRES,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
71,13-046991,20130228,YOUNG ST @ DUKE ST W,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
72,12-014572,20120117,MITCHELL ST @ QUEEN ST S,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
73,12-001018,20120102,FAIRWAY CRT @ FAIRWAY CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
74,12-009768,20120113,UNION BLVD @ DUNBAR RD,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
75,12-045130,20120225,DRIFTWOOD DR @ SOMERFIELD PL,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",INTERSECTION,
76,12-022644,20120128,DOON SOUTH DR @ ROBERT FERRIE DR,01-Non intersection,10-Not on roadway - left side,03-Snow,"08-Dark, artificial",INTERSECTION,
77,12-123883,20120528,FRANKLIN ST N @ TRAFALGAR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
78,12-143400,20120620,BLOCK LINE RD @ FALLOWFIELD DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
79,12-143249,20120620,ROBERT FERRIE DR @ FOREST CREEK DR,03-At intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
80,12-127503,20120601,KINGSWAY DR @ THIRD AVE,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
81,13-019315,20130115,BRIAR AVE @ MOORE AVE,10-Parking lot,12-Off highway,01-Clear,"08-Dark, artificial",INTERSECTION,
82,13-019237,20130123,PIONEER DR @ BECHTEL DR,10-Parking lot,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
83,13-116958,20130502,CARYNDALE DR @ CHAPEL HILL DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
84,13-132870,20130611,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
85,13-118735,20130525,COMMONWEALTH CRES @ ISABELLA ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
86,13-131966,20130610,ACTIVA AVE @ COPPER LEAF ST,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
87,13-034189,20130212,ONTARIO ST N @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
88,13-039507,20130219,TRILLIUM DR @ WASHBURN DR,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
89,13-047957,20130222,ADMIRAL RD @ MARLBOROUGH AVE,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
90,13-053871,20130309,KING ST E @ QUEEN ST N,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
91,12-276146,20121123,FAIRWAY RD S @ WABANAKI DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
92,12-279803,20121129,DOON MILLS DR @ APPLE RIDGE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
93,12-298812,20121224,WESTWOOD DR @ DAYMAN CRT,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
94,12-046632,20120227,DOON SOUTH DR @ WINDRUSH TRAIL,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
95,12-127558,20120601,TRAYNOR AVE @ BELWOOD CRES,02-Intersection related,09-Right shoulder,02-Rain,01-Daylight,INTERSECTION,
96,12-147760,20120625,BELMONT AVE W @ GAGE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
97,12-206690,20120902,WESTHEIGHTS DR @ WINDING WAY,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
98,12-018989,20120124,BELMONT AVE W @ KARN ST,02-Intersection related,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
99,12-014751,20120119,FERGUS AVE @ OBERMEYER DR,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
100,13-098088,20130502,FRANCIS ST S @ CHARLES ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
101,13-109153,20130515,FISCHER HALLMAN RD @ WESTMOUNT RD E / MAX BECKER DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
102,13-012114,20130114,SPORTSWORLD DR @ SPORTSWORLD CROSSING RD,10-Parking lot,99-Other,01-Clear,01-Daylight,INTERSECTION,
103,13-018494,20130123,SIENNA CRES @ ROCHEFORT ST / WOODBINE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
104,13-101130,20130505,MARL MEADOW DR @ TEMPLEWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
105,13-051791,20130305,SCHNEIDER AVE @ DAVID ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
106,13-052582,20130307,UNION BLVD @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
107,13-047663,20130301,UNION BLVD @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
108,13-050280,20130304,SCOTT ST @ DUKE ST E,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
109,12-014737,20120119,BIEHN DR @ CARYNDALE DR,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
110,12-023201,20120129,STONYBROOK DR @ GREENBROOK DR,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
111,12-262059,20121106,CHARLES ST E @ PRESTON ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
112,12-110199,20120512,WAKE ROBIN DR @ WAKE ROBIN CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
113,13-139026,20130618,BORDEN AVE N @ KING ST E / BORDEN AVE S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
114,13-138364,20130617,MAX BECKER DR @ COPPER LEAF CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
115,13-133402,20130612,OTTAWA ST N @ KING ST E / OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
116,13-041975,20130222,FALLOWFIELD DR @ JOSHUA ST,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
117,13-001987,20130103,KINGSWAY DR @ GREENFIELD AVE,04-At/near private drive,02-Thru lane,03-Snow,"02-Daylight, artificial",INTERSECTION,
118,13-051110,20130305,BIEHN DR @ CARLYLE DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
119,12-055389,20120309,EIGHTH AVE @ GREENFIELD AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
120,12-026889,20120127,TRILLIUM DR @ STRASBURG RD,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
121,12-037578,20120216,FORWELL RD @ CENTENNIAL RD,04-At/near private drive,02-Thru lane,04-Freezing Rain,03-Dawn,INTERSECTION,
122,12-116876,20120520,RIVER RD E @ ROSEMOUNT DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
123,12-130291,20120605,HERITAGE DR @ LORRAINE AVE,03-At intersection,02-Thru lane,01-Clear,03-Dawn,INTERSECTION,
124,12-145209,20120622,KING ST E @ SCOTT ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
125,12-151597,20120629,EIGHTH AVE @ WILSON AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
126,13-046786,20130227,WESTHEIGHTS DR @ WESTVIEW CRES,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
127,13-039683,20130219,CEDAR ST N @ DUKE ST E,04-At/near private drive,09-Right shoulder,03-Snow,01-Daylight,INTERSECTION,
128,13-046246,20130227,WESTHEIGHTS DR @ MCGARRY DR,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
129,13-026079,20130201,BLACKWELL DR @ CLAYCROFT CRES,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
130,12-033258,20120210,MCLENNAN PARK GATE @ BLOCK LINE RD,02-Intersection related,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
131,12-033369,20120211,ZELLER DR @ SUSAN CRES / JANET CRT,01-Non intersection,08-Left shoulder,03-Snow,"08-Dark, artificial",INTERSECTION,
132,12-033771,20120211,MAX BECKER DR @ BRIDLEWREATH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
133,12-035541,20120213,CONNAUGHT ST @ CARROL ST,03-At intersection,99-Other,01-Clear,07-Dark,INTERSECTION,
134,12-001118,20120102,QUEEN ST S @ JOSEPH ST,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
135,12-118789,20120522,BLEAMS RD @ STRASBURG RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
136,12-148492,20120626,PETER ST @ BRUDER AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
137,12-151260,20120629,TEMPLETON DR @ EDENBRIDGE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
138,12-149726,20120627,MIDLAND DR @ BRADLEY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
139,13-035412,20130214,QUEEN ST N @ WEBER ST W / WEBER ST E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
140,13-031531,20130209,KING ST E @ CAMERON ST S / CAMERON ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
141,13-061268,20130317,DEER RIDGE DR @ CANDLE CRES / WAGON ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
142,12-001184,20120102,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,06-Strong wind,07-Dark,INTERSECTION,
143,12-021133,20120127,HURON RD @ MILL PARK DR / WILSON AVE,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
144,12-023879,20120128,ROSEMOUNT DR @ ETON DR,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
145,12-091659,20120420,HOLBORN DR @ OLD CHICOPEE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
146,12-132160,20120607,CHURCH ST @ BENTON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
147,12-131518,20120606,FRANKLIN ST S @ GREENFIELD AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
148,12-104337,20120505,MANCHESTER RD @ RIVER RD E,03-At intersection,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
149,13-044855,20130226,OAKDALE CRT @ WOODFIELD ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
150,13-031975,20130209,PROSPECT AVE @ WILFRED AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
151,13-036193,20130215,FIRST AVE @ KINGSWAY DR / SECOND AVE,03-At intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
152,12-023854,20120130,KING ST E @ SYDNEY ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
153,12-021244,20120127,MAX BECKER DR @ LEMONBALM ST / ACTIVA AVE,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
154,12-022442,20120128,QUEEN ST S @ HALLS LANE W,02-Intersection related,02-Thru lane,05-Drifting Snow,"08-Dark, artificial",INTERSECTION,
155,12-100444,20120501,WESTHEIGHTS DR @ DRIFTWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
156,13-035941,20130214,PIONEER DR @ NATHANIEL CRES,01-Non intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
157,13-037466,20130216,OLD HURON RD @ BATTLER RD,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
158,13-038084,20130217,ALPINE RD @ KINGSWOOD DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
159,13-037213,20130215,DRIFTWOOD DR @ PARKLAND CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
160,13-039718,20130219,MARGARET AVE @ UNION ST,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
161,13-049092,20130303,WILLIAMSBURG RD @ DINISON CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
162,14-095975,20140503,BLACKHORNE DR @ MCLENNAN PARK GATE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
163,13-062336,20130319,BLACKWELL DR @ MONTANA CRES,02-Intersection related,09-Right shoulder,03-Snow,07-Dark,INTERSECTION,
164,13-144568,20130624,OTTAWA ST S @ WINDFLOWER DR / DAVID BERGEY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
165,13-019939,20130125,FIRST AVE @ ECKERT ST,01-Non intersection,10-Not on roadway - left side,03-Snow,01-Daylight,INTERSECTION,
166,13-013672,20130117,DOON VALLEY DR @ CONESTOGA COLLEGE BLVD,10-Parking lot,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
167,12-021986,20120128,SIMEON ST @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
168,12-059566,20120314,ROBERT FERRIE DR @ THOMAS SLEE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
169,12-054491,20120308,MT HOPE ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
170,12-114968,20120517,CONNAUGHT ST @ EIGHTH AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
171,12-101171,20120502,RIVER RD E @ ISLINGTON AVE,04-At/near private drive,02-Thru lane,"07-Fog, mist, smoke, dust",01-Daylight,INTERSECTION,
172,12-112039,20120514,HILLMOUNT ST @ SHELLEY DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
173,12-120526,20120523,BELMONT AVE W @ HIGHLAND RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
174,13-151683,20130702,HOLLINGER CRES @ BRIDGE ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
175,13-139164,20130618,QUEENS BLVD @ WESTHEIGHTS DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
176,13-141746,20130621,FRANKLIN ST N @ PROSPECT AVE,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
177,13-140999,20130620,EBY ST S @ EBY ST N / KING ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
178,12-047186,20120220,KING ST W @ GREEN ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
179,12-046952,20120228,ST CLAIR AVE @ STIRLING AVE S,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
180,12-044479,20120224,FRANCIS ST S @ JOSEPH ST,02-Intersection related,09-Right shoulder,05-Drifting Snow,07-Dark,INTERSECTION,
181,12-023788,20120130,SEABROOK DR @ WOODBINE AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
182,12-046473,20120225,ZELLER DR @ SUSAN CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
183,13-157126,20130708,WELLINGTON ST N @ MARGARET AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
184,13-044957,20130225,THISTLEDOWN DR @ ASHLEY CRT / ERINBROOK DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
185,13-016074,20130120,WESTMEADOW DR @ BANKSIDE DR / WESTFOREST TRAIL,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
186,13-099206,20130503,BRIDLEWREATH ST @ DONNENWERTH DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
187,13-020049,20130125,KELLY DR @ QUEENS BLVD,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
188,13-006627,20131228,MCKENZIE AVE @ SHELDON AVE N,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
189,13-010418,20130113,QUEENS BLVD @ WARREN RD,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
190,13-004889,20130106,WILLIAMSBURG RD @ LITTLEFIELD CRES,04-At/near private drive,09-Right shoulder,03-Snow,01-Daylight,INTERSECTION,
191,12-050305,20120302,ROCHEFORT ST @ MADELEINE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
